
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 0.696
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -0.774
:MAX_E: 17.706
:BAND_NUM: 12
:KPT_NUM: 1
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 16
:PROJ_ORBITALS: 16
:VOLUME: 448.293
:CALCULATION_TIME: 0.374
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Al
    :ATOMIC_NUMBER: 13
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	12.9522055567 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	12.9707046016 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	12.9892036466 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.0077026915 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.0262017364 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.0447007813 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.0631998263 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.0816988712 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.1001979161 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.1186969610 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.1371960060 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.1556950509 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.1741940958 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.1926931407 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.2111921857 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.2296912306 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.2481902755 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.2666893204 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.2851883654 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.3036874103 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.3221864552 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.3406855001 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.3591845451 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.3776835900 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.3961826349 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.4146816798 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.4331807248 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.4516797697 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.4701788146 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.4886778595 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.5071769045 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.5256759494 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.5441749943 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.5626740392 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.5811730842 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.5996721291 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.6181711740 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.6366702190 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.6551692639 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.6736683088 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.6921673537 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.7106663987 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.7291654436 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.7476644885 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.7661635334 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.7846625784 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.8031616233 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.8216606682 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.8401597131 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.8586587581 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.8771578030 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.8956568479 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.9141558928 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.9326549378 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.9511539827 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.9696530276 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	13.9881520725 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.0066511175 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.0251501624 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.0436492073 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.0621482522 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.0806472972 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.0991463421 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.1176453870 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.1361444319 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.1546434769 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.1731425218 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.1916415667 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.2101406116 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.2286396566 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.2471387015 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.2656377464 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.2841367914 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.3026358363 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.3211348812 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.3396339261 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.3581329711 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.3766320160 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.3951310609 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.4136301058 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.4321291508 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.4506281957 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.4691272406 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.4876262855 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.5061253305 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.5246243754 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.5431234203 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.5616224652 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.5801215102 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.5986205551 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.6171196000 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.6356186449 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.6541176899 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.6726167348 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.6911157797 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.7096148246 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.7281138696 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.7466129145 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.7651119594 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.7836110043 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.8021100493 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.8206090942 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.8391081391 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.8576071840 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.8761062290 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.8946052739 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.9131043188 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.9316033637 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.9501024087 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.9686014536 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	14.9871004985 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.0055995435 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.0240985884 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.0425976333 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.0610966782 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.0795957232 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.0980947681 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.1165938130 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.1350928579 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	15.1535919029 	0.0000000000 	0.0000000001 	0.0000000000 	0.0000000000
	15.1720909478 	0.0000000000 	0.0000000001 	0.0000000000 	0.0000000000
	15.1905899927 	0.0000000000 	0.0000000002 	0.0000000001 	0.0000000000
	15.2090890376 	0.0000000000 	0.0000000003 	0.0000000001 	0.0000000001
	15.2275880826 	0.0000000000 	0.0000000005 	0.0000000002 	0.0000000001
	15.2460871275 	0.0000000000 	0.0000000009 	0.0000000004 	0.0000000002
	15.2645861724 	0.0000000000 	0.0000000016 	0.0000000006 	0.0000000004
	15.2830852173 	0.0000000000 	0.0000000027 	0.0000000011 	0.0000000006
	15.3015842623 	0.0000000000 	0.0000000046 	0.0000000018 	0.0000000010
	15.3200833072 	0.0000000000 	0.0000000077 	0.0000000030 	0.0000000017
	15.3385823521 	0.0000000000 	0.0000000128 	0.0000000049 	0.0000000028
	15.3570813970 	0.0000000000 	0.0000000211 	0.0000000081 	0.0000000046
	15.3755804420 	0.0000000000 	0.0000000343 	0.0000000131 	0.0000000074
	15.3940794869 	0.0000000000 	0.0000000554 	0.0000000211 	0.0000000120
	15.4125785318 	0.0000000000 	0.0000000886 	0.0000000337 	0.0000000191
	15.4310775767 	0.0000000000 	0.0000001404 	0.0000000532 	0.0000000302
	15.4495766217 	0.0000000000 	0.0000002205 	0.0000000832 	0.0000000473
	15.4680756666 	0.0000000000 	0.0000003430 	0.0000001291 	0.0000000734
	15.4865747115 	0.0000000000 	0.0000005288 	0.0000001983 	0.0000001129
	15.5050737564 	0.0000000000 	0.0000008075 	0.0000003019 	0.0000001720
	15.5235728014 	0.0000000000 	0.0000012220 	0.0000004555 	0.0000002597
	15.5420718463 	0.0000000000 	0.0000018321 	0.0000006807 	0.0000003886
	15.5605708912 	0.0000000000 	0.0000027216 	0.0000010081 	0.0000005760
	15.5790699361 	0.0000000000 	0.0000040058 	0.0000014792 	0.0000008460
	15.5975689811 	0.0000000000 	0.0000058419 	0.0000021505 	0.0000012311
	15.6160680260 	0.0000000000 	0.0000084411 	0.0000030978 	0.0000017751
	15.6345670709 	0.0000000000 	0.0000120849 	0.0000044215 	0.0000025359
	15.6530661159 	0.0000000000 	0.0000171425 	0.0000062530 	0.0000035897
	15.6715651608 	0.0000000000 	0.0000240933 	0.0000087619 	0.0000050348
	15.6900642057 	0.0000000000 	0.0000335513 	0.0000121647 	0.0000069968
	15.7085632506 	0.0000000000 	0.0000462928 	0.0000167342 	0.0000096340
	15.7270622956 	0.0000000000 	0.0000632858 	0.0000228090 	0.0000131436
	15.7455613405 	0.0000000000 	0.0000857217 	0.0000308039 	0.0000177671
	15.7640603854 	0.0000000000 	0.0001150442 	0.0000412193 	0.0000237966
	15.7825594303 	0.0000000000 	0.0001529781 	0.0000546503 	0.0000315798
	15.8010584753 	0.0000000000 	0.0002015506 	0.0000717929 	0.0000415240
	15.8195575202 	0.0000000000 	0.0002631050 	0.0000934475 	0.0000540984
	15.8380565651 	0.0000000000 	0.0003403018 	0.0001205176 	0.0000698338
	15.8565556100 	0.0000000000 	0.0004361034 	0.0001540035 	0.0000893187
	15.8750546550 	0.0000000000 	0.0005537386 	0.0001949879 	0.0001131916
	15.8935536999 	0.0000000000 	0.0006966428 	0.0002446140 	0.0001421287
	15.9120527448 	0.0000000000 	0.0008683714 	0.0003040549 	0.0001768255
	15.9305517897 	0.0000000000 	0.0010724841 	0.0003744722 	0.0002179732
	15.9490508347 	0.0000000000 	0.0013123997 	0.0004569659 	0.0002662298
	15.9675498796 	0.0000000000 	0.0015912239 	0.0005525160 	0.0003221853
	15.9860489245 	0.0000000000 	0.0019115530 	0.0006619156 	0.0003863223
	16.0045479694 	0.0000000000 	0.0022752610 	0.0007857006 	0.0004589752
	16.0230470144 	0.0000000000 	0.0026832793 	0.0009240771 	0.0005402860
	16.0415460593 	0.0000000000 	0.0031353810 	0.0010768518 	0.0006301636
	16.0600451042 	0.0000000000 	0.0036299820 	0.0012433697 	0.0007282457
	16.0785441491 	0.0000000000 	0.0041639770 	0.0014224636 	0.0008338686
	16.0970431941 	0.0000000000 	0.0047326220 	0.0016124214 	0.0009460460
	16.1155422390 	0.0000000000 	0.0053294814 	0.0018109749 	0.0010634615
	16.1340412839 	0.0000000000 	0.0059464485 	0.0020153143 	0.0011844758
	16.1525403288 	0.0000000000 	0.0065738522 	0.0022221303 	0.0013071500
	16.1710393738 	0.0000000000 	0.0072006504 	0.0024276868 	0.0014292870
	16.1895384187 	0.0000000000 	0.0078147126 	0.0026279198 	0.0015484893
	16.2080374636 	0.0000000000 	0.0084031816 	0.0028185639 	0.0016622320
	16.2265365085 	0.0000000000 	0.0089529036 	0.0029952971 	0.0017679488
	16.2450355535 	0.0000000000 	0.0094509065 	0.0031539018 	0.0018631265
	16.2635345984 	0.0000000000 	0.0098849022 	0.0032904296 	0.0019454028
	16.2820336433 	0.0000000000 	0.0102437889 	0.0034013646 	0.0020126638
	16.3005326883 	0.0000000000 	0.0105181208 	0.0034837733 	0.0020631336
	16.3190317332 	0.0000000000 	0.0107005218 	0.0035354334 	0.0020954528
	16.3375307781 	0.0000000000 	0.0107860142 	0.0035549333 	0.0021087387
	16.3560298230 	0.0000000000 	0.0107722450 	0.0035417365 	0.0021026256
	16.3745288680 	0.0000000000 	0.0106595931 	0.0034962057 	0.0020772817
	16.3930279129 	0.0000000000 	0.0104511522 	0.0034195867 	0.0020334010
	16.4115269578 	0.0000000000 	0.0101525895 	0.0033139513 	0.0019721722
	16.4300260027 	0.0000000000 	0.0097718898 	0.0031821047 	0.0018952248
	16.4485250477 	0.0000000000 	0.0093190006 	0.0030274611 	0.0018045574
	16.4670240926 	0.0000000000 	0.0088054011 	0.0028538979 	0.0017024513
	16.4855231375 	0.0000000000 	0.0082436194 	0.0026655939 	0.0015913754
	16.5040221824 	0.0000000000 	0.0076467288 	0.0024668639 	0.0014738881
	16.5225212274 	0.0000000000 	0.0070278481 	0.0022619969 	0.0013525404
	16.5410202723 	0.0000000000 	0.0063996755 	0.0020551068 	0.0012297867
	16.5595193172 	0.0000000000 	0.0057740749 	0.0018500025 	0.0011079065
	16.5780183621 	0.0000000000 	0.0051617351 	0.0016500827 	0.0009889405
	16.5965174071 	0.0000000000 	0.0045719117 	0.0014582586 	0.0008746432
	16.6150164520 	0.0000000000 	0.0040122570 	0.0012769056 	0.0007664525
	16.6335154969 	0.0000000000 	0.0034887385 	0.0011078433 	0.0006654772
	16.6520145418 	0.0000000000 	0.0030056390 	0.0009523426 	0.0005724989
	16.6705135868 	0.0000000000 	0.0025656294 	0.0008111541 	0.0004879885
	16.6890126317 	0.0000000000 	0.0021698999 	0.0006845556 	0.0004121335
	16.7075116766 	0.0000000000 	0.0018183360 	0.0005724127 	0.0003448734
	16.7260107215 	0.0000000000 	0.0015097228 	0.0004742473 	0.0002859399
	16.7445097665 	0.0000000000 	0.0012419636 	0.0003893100 	0.0002349001
	16.7630088114 	0.0000000000 	0.0010122997 	0.0003166514 	0.0001911986
	16.7815078563 	0.0000000000 	0.0008175190 	0.0002551891 	0.0001541983
	16.8000069012 	0.0000000000 	0.0006541467 	0.0002037688 	0.0001232161
	16.8185059462 	0.0000000000 	0.0005186101 	0.0001612161 	0.0000975548
	16.8370049911 	0.0000000000 	0.0004073758 	0.0001263787 	0.0000765284
	16.8555040360 	0.0000000000 	0.0003170574 	0.0000981599 	0.0000594826
	16.8740030809 	0.0000000000 	0.0002444944 	0.0000755421 	0.0000458089
	16.8925021259 	0.0000000000 	0.0001868050 	0.0000576021 	0.0000349545
	16.9110011708 	0.0000000000 	0.0001414153 	0.0000435194 	0.0000264270
	16.9295002157 	0.0000000000 	0.0001060700 	0.0000325778 	0.0000197964
	16.9479992607 	0.0000000000 	0.0000788274 	0.0000241633 	0.0000146933
	16.9664983056 	0.0000000000 	0.0000580430 	0.0000177576 	0.0000108054
	16.9849973505 	0.0000000000 	0.0000423459 	0.0000129302 	0.0000078733
	17.0034963954 	0.0000000000 	0.0000306098 	0.0000093287 	0.0000056842
	17.0219954404 	0.0000000000 	0.0000219229 	0.0000066686 	0.0000040660
	17.0404944853 	0.0000000000 	0.0000155569 	0.0000047232 	0.0000028818
	17.0589935302 	0.0000000000 	0.0000109380 	0.0000033147 	0.0000020237
	17.0774925751 	0.0000000000 	0.0000076197 	0.0000023048 	0.0000014081
	17.0959916201 	0.0000000000 	0.0000052593 	0.0000015879 	0.0000009707
	17.1144906650 	0.0000000000 	0.0000035967 	0.0000010839 	0.0000006631
	17.1329897099 	0.0000000000 	0.0000024371 	0.0000007331 	0.0000004488
	17.1514887548 	0.0000000000 	0.0000016362 	0.0000004913 	0.0000003009
	17.1699877998 	0.0000000000 	0.0000010884 	0.0000003262 	0.0000001999
	17.1884868447 	0.0000000000 	0.0000007173 	0.0000002146 	0.0000001316
	17.2069858896 	0.0000000000 	0.0000004684 	0.0000001399 	0.0000000859
	17.2254849345 	0.0000000000 	0.0000003031 	0.0000000904 	0.0000000555
	17.2439839795 	0.0000000000 	0.0000001943 	0.0000000578 	0.0000000355
	17.2624830244 	0.0000000000 	0.0000001234 	0.0000000367 	0.0000000225
	17.2809820693 	0.0000000000 	0.0000000777 	0.0000000230 	0.0000000142
	17.2994811142 	0.0000000000 	0.0000000484 	0.0000000143 	0.0000000088
	17.3179801592 	0.0000000000 	0.0000000299 	0.0000000088 	0.0000000054
	17.3364792041 	0.0000000000 	0.0000000183 	0.0000000054 	0.0000000033
	17.3549782490 	0.0000000000 	0.0000000111 	0.0000000033 	0.0000000020
	17.3734772939 	0.0000000000 	0.0000000067 	0.0000000020 	0.0000000012
	17.3919763389 	0.0000000000 	0.0000000040 	0.0000000012 	0.0000000007
	17.4104753838 	0.0000000000 	0.0000000023 	0.0000000007 	0.0000000004
	17.4289744287 	0.0000000000 	0.0000000014 	0.0000000004 	0.0000000002
	17.4474734736 	0.0000000000 	0.0000000008 	0.0000000002 	0.0000000001
	17.4659725186 	0.0000000000 	0.0000000005 	0.0000000001 	0.0000000001
	17.4844715635 	0.0000000000 	0.0000000003 	0.0000000001 	0.0000000000
	17.5029706084 	0.0000000000 	0.0000000001 	0.0000000000 	0.0000000000
	17.5214696533 	0.0000000000 	0.0000000001 	0.0000000000 	0.0000000000
	17.5399686983 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.5584677432 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.5769667881 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.5954658330 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.6139648780 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.6324639229 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.6509629678 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.6694620128 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.6879610577 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	17.7064601026 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000

:PDOS_INFO:
    :ATOM_TYPE: Al
    :ATOMIC_NUMBER: 13
    :ATOM_INDEX: 1
    :ATOM_POSITION_CARTESIAN: [3.8266955 3.8266955 0.       ]
    :ATOM_POSITION_FRACTIONAL: [0.5 0.5 0. ]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-0.7740857782 	0.0000000000 	0.0000000001 	0.0000000000 	0.0000000001
	-0.7555867332 	0.0000000000 	0.0000000001 	0.0000000000 	0.0000000001
	-0.7370876883 	0.0000000000 	0.0000000002 	0.0000000001 	0.0000000002
	-0.7185886434 	0.0000000000 	0.0000000004 	0.0000000001 	0.0000000004
	-0.7000895985 	0.0000000000 	0.0000000008 	0.0000000003 	0.0000000008
	-0.6815905535 	0.0000000000 	0.0000000014 	0.0000000005 	0.0000000014
	-0.6630915086 	0.0000000001 	0.0000000027 	0.0000000009 	0.0000000027
	-0.6445924637 	0.0000000001 	0.0000000050 	0.0000000017 	0.0000000050
	-0.6260934188 	0.0000000003 	0.0000000092 	0.0000000033 	0.0000000092
	-0.6075943738 	0.0000000005 	0.0000000167 	0.0000000060 	0.0000000167
	-0.5890953289 	0.0000000010 	0.0000000302 	0.0000000111 	0.0000000302
	-0.5705962840 	0.0000000018 	0.0000000541 	0.0000000201 	0.0000000541
	-0.5520972391 	0.0000000034 	0.0000000960 	0.0000000363 	0.0000000960
	-0.5335981941 	0.0000000063 	0.0000001688 	0.0000000648 	0.0000001688
	-0.5150991492 	0.0000000115 	0.0000002940 	0.0000001146 	0.0000002940
	-0.4966001043 	0.0000000209 	0.0000005074 	0.0000002010 	0.0000005074
	-0.4781010594 	0.0000000377 	0.0000008677 	0.0000003490 	0.0000008677
	-0.4596020144 	0.0000000674 	0.0000014702 	0.0000006007 	0.0000014702
	-0.4411029695 	0.0000001192 	0.0000024682 	0.0000010243 	0.0000024682
	-0.4226039246 	0.0000002090 	0.0000041055 	0.0000017304 	0.0000041055
	-0.4041048797 	0.0000003632 	0.0000067659 	0.0000028966 	0.0000067660
	-0.3856058347 	0.0000006251 	0.0000110479 	0.0000048039 	0.0000110480
	-0.3671067898 	0.0000010661 	0.0000178738 	0.0000078940 	0.0000178739
	-0.3486077449 	0.0000018014 	0.0000286510 	0.0000128524 	0.0000286512
	-0.3301086999 	0.0000030159 	0.0000455039 	0.0000207327 	0.0000455043
	-0.3116096550 	0.0000050028 	0.0000716050 	0.0000331371 	0.0000716055
	-0.2931106101 	0.0000082222 	0.0001116409 	0.0000524755 	0.0001116418
	-0.2746115652 	0.0000133892 	0.0001724603 	0.0000823352 	0.0001724617
	-0.2561125202 	0.0000216027 	0.0002639617 	0.0001279971 	0.0002639637
	-0.2376134753 	0.0000345338 	0.0004002932 	0.0001971517 	0.0004002962
	-0.2191144304 	0.0000546974 	0.0006014523 	0.0003008751 	0.0006014567
	-0.2006153855 	0.0000858372 	0.0008953852 	0.0004549439 	0.0008953916
	-0.1821163405 	0.0001334656 	0.0013207004 	0.0006815772 	0.0013207096
	-0.1636172956 	0.0002056124 	0.0019301203 	0.0010117146 	0.0019301334
	-0.1451182507 	0.0003138446 	0.0027947962 	0.0014879441 	0.0027948148
	-0.1266192058 	0.0004746416 	0.0040096051 	0.0021682080 	0.0040096311
	-0.1081201608 	0.0007112179 	0.0056995262 	0.0031304080 	0.0056995622
	-0.0896211159 	0.0010559058 	0.0080271540 	0.0044780262 	0.0080272033
	-0.0711220710 	0.0015532216 	0.0112013438 	0.0063468468 	0.0112014107
	-0.0526230261 	0.0022637440 	0.0154868947 	0.0089128190 	0.0154869846
	-0.0341239811 	0.0032689398 	0.0212150596 	0.0124010326 	0.0212151792
	-0.0156249362 	0.0046770521 	0.0287945209 	0.0170956768 	0.0287946784
	0.0028741087 	0.0066301475 	0.0387223002 	0.0233507289 	0.0387225055
	0.0213731536 	0.0093123622 	0.0515938728 	0.0316009598 	0.0515941377
	0.0398721986 	0.0129593201 	0.0681115556 	0.0423726666 	0.0681118938
	0.0583712435 	0.0178685894 	0.0890900413 	0.0562933389 	0.0890904687
	0.0768702884 	0.0244109122 	0.1154577823 	0.0740992669 	0.1154583168
	0.0953693333 	0.0330417803 	0.1482528164 	0.0966399071 	0.1482534779
	0.1138683783 	0.0443127353 	0.1886115933 	0.1248776699 	0.1886124031
	0.1323674232 	0.0588815683 	0.2377494415 	0.1598817008 	0.2377504223
	0.1508664681 	0.0775203758 	0.2969315306 	0.2028142298 	0.2969327056
	0.1693655130 	0.1011202326 	0.3674335583 	0.2549081821 	0.3674349505
	0.1878645580 	0.1306910781 	0.4504919247 	0.3174350067 	0.4504935559
	0.2063636029 	0.1673553157 	0.5472438535 	0.3916621038 	0.5472457429
	0.2248626478 	0.2123336240 	0.6586587482 	0.4787998171 	0.6586609116
