
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 0.696
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -0.774
:MAX_E: 17.706
:BAND_NUM: 12
:KPT_NUM: 1
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 16
:PROJ_ORBITALS: 16
:VOLUME: 448.293
:CALCULATION_TIME: 0.374
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Al
    :ATOMIC_NUMBER: 13
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	0.1138683783 	0.0400038084 	0.1876559727 	0.1876539172 	0.1876551671
	0.1323674232 	0.0533283968 	0.2365448189 	0.2365423294 	0.2365438432
	0.1508664681 	0.0704370904 	0.2954269961 	0.2954240138 	0.2954258273
	0.1693655130 	0.0921785724 	0.3655717328 	0.3655681993 	0.3655703479
	0.1878645580 	0.1195210054 	0.4482091581 	0.4482050183 	0.4482075355
	0.2063636029 	0.1535480084 	0.5444707267 	0.5444659315 	0.5444688471
	0.2248626478 	0.1954473688 	0.6553209226 	0.6553154325 	0.6553187706
	0.2433616927 	0.2464910521 	0.7814824388 	0.7814762273 	0.7814800039
	0.2618607377 	0.3080052924 	0.9233579705 	0.9233510277 	0.9233552488
	0.2803597826 	0.3813299264 	1.0809526530 	1.0809449894 	1.0809496486
	0.2988588275 	0.4677666881 	1.2538019220 	1.2537935712 	1.2537986480
	0.3173578725 	0.5685169025 	1.4409100845 	1.4409011061 	1.4409065642
	0.3358569174 	0.6846098796 	1.6407050718 	1.6406955528 	1.6407013392
	0.3543559623 	0.8168242699 	1.8510146262 	1.8510046818 	1.8510107265
	0.3728550072 	0.9656056416 	2.0690685068 	2.0690582793 	2.0690644957
	0.3913540522 	1.1309844812 	2.2915301751 	2.2915198318 	2.2915261181
	0.4098530971 	1.3124996228 	2.5145598718 	2.5145496014 	2.5145558427
	0.4283521420 	1.5091326628 	2.7339091024 	2.7338991099 	2.7339051816
	0.4468511869 	1.7192591347 	2.9450444320 	2.9450349321 	2.9450407036
	0.4653502319 	1.9406220081 	3.1432963044 	3.1432875146 	3.1432928536
	0.4838492768 	2.1703324017 	3.3240265395 	3.3240186714 	3.3240234493
	0.5023483217 	2.4049012398 	3.4828063961 	3.4827996475 	3.4828037441
	0.5208473666 	2.6403039680 	3.6155958086 	3.6155903550 	3.6155936634
	0.5393464116 	2.8720784652 	3.7189137420 	3.7189097292 	3.7189121609
	0.5578454565 	3.0954540604 	3.7899896713 	3.7899872090 	3.7899886973
	0.5763445014 	3.3055072614 	3.8268869916 	3.8268861483 	3.8268866516
	0.5948435463 	3.4973376091 	3.8285906907 	3.8285914908 	3.8285909944
	0.6133425913 	3.6662551910 	3.7950537433 	3.7950561658 	3.7950546825
	0.6318416362 	3.8079699605 	3.7271992675 	3.7272032469 	3.7272008167
	0.6503406811 	3.9187722744 	3.6268783062 	3.6268837357 	3.6268804236
	0.6688397260 	3.9956940765 	3.4967859269 	3.4967926630 	3.4967885565
	0.6873387710 	4.0366409629 	3.3403409492 	3.3403488180 	3.3403440228
	0.7058378159 	4.0404869307 	3.1615367878 	3.1615455928 	3.1615402285
	0.7243368608 	4.0071258264 	2.9647724876 	2.9647820174 	2.9647762127
	0.7428359057 	3.9374762146 	2.7546738997 	2.7546839370 	2.7546778241
	0.7613349507 	3.8334393541 	2.5359150817 	2.5359254106 	2.5359191209
	0.7798339956 	3.6978129649 	2.3130494051 	2.3130598194 	2.3130534783
	0.7983330405 	3.5341662459 	2.0903586300 	2.0903689391 	2.0903626626
	0.8168320854 	3.3466839331 	1.8717264800 	1.8717365145 	1.8717304055
	0.8353311304 	3.1399889004 	1.6605412076 	1.6605508228 	1.6605449694
	0.8538301753 	2.9189537727 	1.4596294606 	1.4596385391 	1.4596330128
	0.8723292202 	2.6885121997 	1.2712216291 	1.2712300816 	1.2712249365
	0.8908282651 	2.4534798526 	1.0969469294 	1.0969546940 	1.0969499678
	0.9093273101 	2.2183939421 	0.9378548964 	0.9378619376 	0.9378576519
	0.9278263550 	1.9873782628 	0.7944587884 	0.7944650941 	0.7944612562
	0.9463253999 	1.7640386253 	0.6667956949 	0.6668012736 	0.6667978783
	0.9648244449 	1.5513912411 	0.5544978811 	0.5545027583 	0.5544997900
	0.9833234898 	1.3518243664 	0.4568700456 	0.4568742603 	0.4568716952
	1.0018225347 	1.1670914714 	0.3729676539 	0.3729712547 	0.3729690633
	1.0203215796 	0.9983325029 	0.3016722363 	0.3016752783 	0.3016734270
	1.0388206246 	0.8461185495 	0.2417604230 	0.2417629647 	0.2417614179
	1.0573196695 	0.7105144451 	0.1919644289 	0.1919665295 	0.1919652512
	1.0758187144 	0.5911535438 	0.1510226219 	0.1510243393 	0.1510232941
