t[fs]    SACF
0.0000E+00  1.2679E+03
1.0000E-01  1.3621E+03
2.0000E-01  1.1573E+03
3.0000E-01  1.2175E+03
4.0000E-01  1.0255E+03
5.0000E-01  1.0098E+03
6.0000E-01  8.6518E+02
7.0000E-01  9.3356E+02
8.0000E-01  7.5275E+02
9.0000E-01  7.7418E+02
1.0000E+00  6.1314E+02
1.1000E+00  5.8044E+02
1.2000E+00  4.8014E+02
1.3000E+00  5.4021E+02
1.4000E+00  4.1853E+02
1.5000E+00  4.0381E+02
1.6000E+00  3.3788E+02
1.7000E+00  3.2740E+02
1.8000E+00  2.6243E+02
1.9000E+00  3.0836E+02
