t[fs]    VACF
0.0000E+00 1.0860E-05
1.0000E-01 1.0837E-05
2.0000E-01 1.0811E-05
3.0000E-01 1.0780E-05
4.0000E-01 1.0745E-05
5.0000E-01 1.0706E-05
6.0000E-01 1.0665E-05
7.0000E-01 1.0620E-05
8.0000E-01 1.0573E-05
9.0000E-01 1.0524E-05
1.0000E+00 1.0474E-05
1.1000E+00 1.0422E-05
1.2000E+00 1.0368E-05
1.3000E+00 1.0314E-05
1.4000E+00 1.0260E-05
